VP,Condition,Trial,CurrentTarget,Time,State,PlayerPositionX,PlayerPositionY,PlayerPositionZ, PlayerRotationX, PlayerRotationY, PlayerRotationZ, VRCameraPositionX, VRCameraPositionY, VRCameraPositionZ, VRCameraRotationX, VRCameraRotationY, VRCameraRotationZ,GazeObject
952,Normal,1,Right,20:34:30.180,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.189,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.202,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.213,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.226,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.235,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.249,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.261,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.270,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.284,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.293,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.308,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.316,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.329,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.337,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.352,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.362,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.377,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.383,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.398,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.408,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
